metric_code         , metric_name                                    , hexaly_value_dataset_1, mathopt_value_dataset_1, hexaly_value_dataset_2, mathopt_value_dataset_2, hexaly_value_dataset_3, mathopt_value_dataset_3, hexaly_value_dataset_4, mathopt_value_dataset_4, hexaly_value_dataset_5, mathopt_value_dataset_5, hexaly_value_dataset_6, mathopt_value_dataset_6, hexaly_value_dataset_7, mathopt_value_dataset_7, hexaly_value_dataset_8, mathopt_value_dataset_8
Work Period Stat.3.2, Night work period min length                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.3, Night work period max length                   , 0.00                  , 0.27                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.06                  , 0.06                   , 0.27                  , 0.18                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.4, Night work period mean length                  , 0.00                  , 3.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 2.00                  , 2.00                   , 2.67                  , 2.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.1, Night activity number                          , 0.00                  , 0.27                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 3.83                  , 2.97                   , 0.73                  , 0.91                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.2, Day activity number                            , 16.27                 , 15.64                  , 14.09                 , 14.00                  , 10.50                 , 10.56                  , 9.94                  , 10.00                  , 6.51                  , 6.51                   , 16.09                 , 15.55                  , 15.50                 , 15.50                  , 8.50                  , 8.50
Work Period Stat.4.3, Total activity number                          , 16.27                 , 15.91                  , 14.09                 , 14.00                  , 10.50                 , 10.56                  , 9.94                  , 10.00                  , 10.34                 , 9.49                   , 16.82                 , 16.45                  , 15.50                 , 15.50                  , 8.50                  , 8.50
Work Period Stat.4.4, Isolated activity number                       , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.0  , Periods number                                 , 5.09                  , 5.18                   , 3.82                  , 4.00                   , 4.72                  , 4.78                   , 4.50                  , 4.89                   , 5.66                  , 5.31                   , 5.00                  , 5.18                   , 5.00                  , 4.50                   , 4.50                  , 4.50
Rest Period Stat.1  , Min length                                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.2  , Max length                                     , 0.45                  , 0.45                   , 0.45                  , 0.27                   , 0.33                  , 0.33                   , 0.44                  , 0.44                   , 0.20                  , 0.31                   , 0.45                  , 0.45                   , 2.50                  , 2.50                   , 4.50                  , 6.50
Rest Period Stat.3  , Mean length                                    , 2.36                  , 2.33                   , 2.19                  , 2.11                   , 2.88                  , 2.85                   , 3.14                  , 2.89                   , 2.94                  , 3.31                   , 2.40                  , 2.26                   , 2.90                  , 3.22                   , 4.78                  , 4.78
Rest Period Stat.4  , Rest number                                    , 12.00                 , 12.09                  , 8.36                  , 8.45                   , 13.61                 , 13.61                  , 14.11                 , 14.11                  , 16.66                 , 17.57                  , 12.00                 , 11.73                  , 14.50                 , 14.50                  , 21.50                 , 21.50
Rest Period Stat.5  , Isolated rest period nb                        , 0.36                  , 0.18                   , 0.09                  , 0.27                   , 0.39                  , 0.33                   , 0.28                  , 0.44                   , 0.57                  , 0.43                   , 0.36                  , 0.36                   , 0.50                  , 0.00                   , 0.50                  , 0.50
Activity Stat.0     , Activity preference score                      , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.1     , Effective work activity number                 , 15.45                 , 15.36                  , 13.64                 , 13.55                  , 10.00                 , 10.00                  , 9.50                  , 9.50                   , 9.86                  , 8.94                   , 15.45                 , 15.73                  , 15.50                 , 15.50                  , 8.50                  , 8.50
Activity Stat.2     , Assimilated work activity number               , 0.18                  , 0.18                   , 0.18                  , 0.18                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.17                  , 0.17                   , 0.18                  , 0.18                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.3     , Different activity number                      , 3.45                  , 2.55                   , 2.64                  , 2.36                   , 1.22                  , 1.22                   , 1.22                  , 1.22                   , 1.89                  , 1.66                   , 3.36                  , 2.82                   , 3.50                  , 3.50                   , 1.00                  , 1.00
Activity Stat.4     , Planned leave number                           , 2.36                  , 2.36                   , 2.36                  , 2.36                   , 2.78                  , 2.78                   , 2.78                  , 2.78                   , 2.09                  , 2.09                   , 2.36                  , 2.36                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.5     , Unplanned leave number                         , 0.00                  , 0.00                   , 5.45                  , 5.45                   , 3.61                  , 3.61                   , 3.61                  , 3.61                   , 1.23                  , 1.23                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.6     , Leave number                                   , 2.36                  , 2.36                   , 7.82                  , 7.82                   , 6.39                  , 6.39                   , 6.39                  , 6.39                   , 3.31                  , 3.31                   , 2.36                  , 2.36                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.7     , Activity change number                         , 3.18                  , 0.36                   , 2.36                  , 0.64                   , 0.00                  , 0.00                   , 1.44                  , 0.11                   , 0.06                  , 0.00                   , 2.45                  , 0.27                   , 4.00                  , 4.00                   , 0.00                  , 0.00
Activity Stat.8     , Activity 'CA' occurrence nb                    , 2.36                  , 2.36                   , 2.36                  , 2.36                   , 2.78                  , 2.78                   , 2.78                  , 2.78                   , 2.09                  , 2.09                   , 2.36                  , 2.36                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'FC' occurrence nb                    , 0.18                  , 0.18                   , 0.18                  , 0.18                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 0.18                  , 0.18                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'J1' occurrence nb                    , 2.00                  , 2.00                   , 1.73                  , 2.00                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 2.00                  , 2.00                   , 7.50                  , 7.50                   , 8.50                  , 8.50
Activity Stat.8     , Activity 'J2' occurrence nb                    , 2.00                  , 2.00                   , 1.91                  , 1.82                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.91                  , 1.91                   , 5.50                  , 5.50                   , ###                   , ###
Activity Stat.8     , Activity 'M' occurrence nb                     , 5.45                  , 5.45                   , 4.45                  , 5.18                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 6.82                  , 6.82                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'N' occurrence nb                     , 0.55                  , 0.45                   , 0.18                  , 0.09                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 0.64                  , 0.91                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'RH' occurrence nb                    , 12.00                 , 12.09                  , 8.36                  , 8.45                   , 13.61                 , 13.61                  , 14.11                 , 14.11                  , 16.66                 , 17.57                  , 12.00                 , 11.73                  , 14.50                 , 14.50                  , 21.50                 , 21.50
Activity Stat.8     , Activity 'S' occurrence nb                     , 5.45                  , 5.45                   , 5.36                  , 4.45                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 4.09                  , 4.09                   , ###                   , ###                    , ###                   , ###
Office Stat.0       , Different office nb                            , 1.91                  , 1.73                   , 1.55                  , 1.45                   , 1.22                  , 1.22                   , 1.22                  , 1.22                   , 0.97                  , 0.97                   , 1.91                  , 1.64                   , 1.00                  , 1.00                   , 1.00                  , 1.00
Office Stat.1       , Office 'hopital de jour' occurrence nb         , 4.00                  , 4.00                   , 3.64                  , 3.82                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 3.91                  , 3.91                   , 15.50                 , 15.50                  , 8.50                  , 8.50
Office Stat.1       , Office 'hospitalisation continue' occurrence nb, 11.45                 , 11.36                  , 10.00                 , 9.73                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 11.55                 , 11.82                  , ###                   , ###                    , ###                   , ###
Office Stat.3       , Office change number                           , 2.64                  , 0.27                   , 1.45                  , 0.55                   , 0.00                  , 0.00                   , 1.44                  , 0.11                   , 0.00                  , 0.00                   , 2.45                  , 0.27                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Time Stat.0    , Total work time                                , 120:0:0               , 125:0:0                , 135:0:0               , 140:0:0                , 72:0:0                , 72:0:0                 , 72:0:0                , 72:0:0                 , 81:49:5               , 116:43:38              , 110:0:0               , 95:0:0                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.1    , Effective weighted work time planned           , 120:0:0               , 125:0:0                , 135:0:0               , 140:0:0                , 72:0:0                , 72:0:0                 , 72:0:0                , 72:0:0                 , 81:49:5               , 116:43:38              , 110:0:0               , 95:0:0                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.2    , Initial available time                         , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.3    , Remaining available time                       , 47:30:0               , 42:30:0                , 32:0:0                , 27:0:0                 , 71:12:0               , 71:12:0                , 51:54:0               , 51:54:0                , 41:38:10              , 6:43:38                , 57:30:0               , 72:30:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.4    , Supp time planned                              , 0:0:0                 , 0:0:0                  , 1:30:0                , 1:30:0                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.5    , Supp time allowed                              , 20:30:0               , 20:30:0                , 20:0:0                , 20:0:0                 , 19:18:0               , 19:18:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 20:30:0               , 20:30:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.6    , Contract time                                  , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.7    , Assimilated work time                          , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.8    , Planned leave time                             , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.9    , Unplanned leave time                           , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.10   , Leave time                                     , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 23:6:0                , 23:6:0                 , 23:6:0                , 23:6:0                 , 23:32:43              , 23:32:43               , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.11   , Effective work time planned                    , 120:0:0               , 125:0:0                , 135:0:0               , 140:0:0                , 72:0:0                , 72:0:0                 , 72:0:0                , 72:0:0                 , 81:49:5               , 116:43:38              , 110:0:0               , 95:0:0                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.12   , Start cumulated supp time                      , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 26:0:0                , 26:0:0                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.13   , End cumulated supp time                        , -27:0:0               , -22:0:0                , -12:0:0               , -7:0:0                 , -25:-54:0             , -25:-54:0              , -51:-54:0             , -51:-54:0              , -41:-38:-10           , -6:-43:-38             , -37:0:0               , -52:0:0                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Pref Weekend.0      , In weekend count                               , 1.50                  , 1.50                   , 1.00                  , 1.50                   , 0.30                  , 0.40                   , 0.70                  , 0.60                   , 0.73                  , 0.73                   , 2.00                  , 1.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.1      , Off weekend count                              , 1.50                  , 2.00                   , 1.00                  , 0.50                   , 2.40                  , 2.40                   , 2.60                  , 2.50                   , 2.18                  , 1.82                   , 2.00                  , 2.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.2      , Cut weekend count                              , 0.00                  , 0.00                   , 1.50                  , 1.00                   , 1.00                  , 0.80                   , 0.20                  , 0.40                   , 0.64                  , 0.91                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.3      , Worked weekend count                           , 1.50                  , 1.50                   , 2.50                  , 2.50                   , 1.30                  , 1.20                   , 0.90                  , 1.00                   , 1.36                  , 1.64                   , 2.00                  , 1.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.4      , Worked Sunday count                            , 1.50                  , 1.50                   , 2.00                  , 2.00                   , 0.80                  , 0.80                   , 0.80                  , 0.80                   , 0.91                  , 1.18                   , 2.00                  , 1.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.5      , Off Sunday count                               , 2.50                  , 2.50                   , 2.00                  , 2.00                   , 3.20                  , 3.20                   , 3.20                  , 3.20                   , 3.09                  , 2.82                   , 2.00                  , 3.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.6      , Weekend off around planned leave               , 100%                  , 100%                   , 100%                  , 100%                   , 100%                  , 50%                    , 100%                  , 100%                   , 17%                   , 33%                    , 100%                  , 100%                   , 100%                  , 100%                   , 100%                  , 100%
Pref Weekend.7      , Total weekend around planned leave count       , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.20                  , 0.20                   , 0.20                  , 0.20                   , 0.55                  , 0.55                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.8      , Off weekend around planned leave count         , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.20                  , 0.10                   , 0.20                  , 0.20                   , 0.09                  , 0.18                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.1, Work periods number                            , 5.50                  , 5.50                   , 4.50                  , 5.50                   , 2.60                  , 2.80                   , 2.60                  , 2.70                   , 3.45                  , 5.09                   , 4.50                  , 4.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.2, Work period min length                         , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.3, Work period max length                         , 1.50                  , 1.50                   , 1.50                  , 1.50                   , 0.30                  , 0.30                   , 0.30                  , 0.30                   , 0.18                  , 0.18                   , 1.50                  , 1.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.4, Work period mean length                        , 2.36                  , 2.36                   , 3.00                  , 2.55                   , 2.35                  , 2.29                   , 2.31                  , 2.26                   , 2.00                  , 2.00                   , 2.44                  , 2.38                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.2.1, Day work periods number                        , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.2.2, Day work period min length                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.2.3, Day work period max length                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.2.4, Day work period mean length                    , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.1, Night work periods number                      , 5.50                  , 5.50                   , 4.50                  , 5.50                   , 2.60                  , 2.80                   , 2.60                  , 2.70                   , 3.45                  , 5.09                   , 4.50                  , 4.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.2, Night work period min length                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.3, Night work period max length                   , 1.50                  , 1.50                   , 1.50                  , 1.50                   , 0.30                  , 0.30                   , 0.30                  , 0.30                   , 0.18                  , 0.18                   , 1.50                  , 1.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.4, Night work period mean length                  , 2.36                  , 2.36                   , 3.00                  , 2.55                   , 2.35                  , 2.29                   , 2.31                  , 2.26                   , 2.00                  , 2.00                   , 2.44                  , 2.38                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.1, Night activity number                          , 13.00                 , 13.00                  , 13.50                 , 14.00                  , 6.10                  , 6.40                   , 6.00                  , 6.10                   , 6.91                  , 10.18                  , 11.00                 , 9.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.2, Day activity number                            , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.3, Total activity number                          , 13.00                 , 13.00                  , 13.50                 , 14.00                  , 6.10                  , 6.40                   , 6.00                  , 6.10                   , 6.91                  , 10.18                  , 11.00                 , 9.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.4, Isolated activity number                       , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.0  , Periods number                                 , 5.50                  , 5.50                   , 5.00                  , 6.00                   , 3.10                  , 3.30                   , 3.10                  , 3.30                   , 4.36                  , 5.45                   , 5.50                  , 5.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.1  , Min length                                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.2  , Max length                                     , 3.00                  , 2.50                   , 2.50                  , 2.00                   , 2.50                  , 2.90                   , 1.40                  , 2.10                   , 1.18                  , 0.73                   , 3.50                  , 3.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.3  , Mean length                                    , 3.27                  , 3.18                   , 3.30                  , 2.67                   , 6.35                  , 5.97                   , 6.35                  , 5.97                   , 4.38                  , 2.97                   , 3.45                  , 4.10                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.4  , Rest number                                    , 18.00                 , 17.50                  , 16.50                 , 16.00                  , 19.70                 , 19.70                  , 19.70                 , 19.70                  , 19.09                 , 16.18                  , 19.00                 , 20.50                  , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.5  , Isolated rest period nb                        , 0.50                  , 0.50                   , 0.50                  , 0.50                   , 0.20                  , 0.20                   , 0.00                  , 0.10                   , 0.18                  , 1.09                   , 1.00                  , 0.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.0     , Activity preference score                      , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.1     , Effective work activity number                 , 12.00                 , 12.50                  , 13.50                 , 14.00                  , 6.00                  , 6.00                   , 6.00                  , 6.00                   , 6.82                  , 9.73                   , 11.00                 , 9.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.2     , Assimilated work activity number               , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.3     , Different activity number                      , 1.00                  , 1.00                   , 1.00                  , 1.00                   , 0.90                  , 0.90                   , 0.90                  , 0.90                   , 1.00                  , 1.00                   , 1.00                  , 1.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.4     , Planned leave number                           , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 1.30                  , 1.30                   , 1.30                  , 1.30                   , 1.73                  , 1.73                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.5     , Unplanned leave number                         , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 3.00                  , 3.00                   , 3.00                  , 3.00                   , 2.36                  , 2.36                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.6     , Leave number                                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 4.30                  , 4.30                   , 4.30                  , 4.30                   , 4.09                  , 4.09                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.7     , Activity change number                         , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.8     , Activity 'N' occurrence nb                     , 12.00                 , 12.50                  , 13.50                 , 14.00                  , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 11.00                 , 9.50                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'RC' occurrence nb                    , 0.50                  , 0.50                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'RH' occurrence nb                    , 17.00                 , 16.50                  , 16.50                 , 16.00                  , 19.70                 , 19.70                  , 19.70                 , 19.70                  , 19.09                 , 16.18                  , 19.00                 , 20.50                  , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'TP' occurrence nb                    , 0.50                  , 0.50                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.0       , Different office nb                            , 1.00                  , 1.00                   , 1.00                  , 1.00                   , 0.90                  , 0.90                   , 0.90                  , 0.90                   , 1.00                  , 1.00                   , 1.00                  , 1.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Office Stat.1       , Office 'hospitalisation continue' occurrence nb, 12.00                 , 12.50                  , 13.50                 , 14.00                  , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 11.00                 , 9.50                   , ###                   , ###                    , ###                   , ###
Office Stat.3       , Office change number                           , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.8     , Activity 'CLD' occurrence nb                   , ###                   , ###                    , 4.62                  , 4.62                   , 3.39                  , 3.39                   , 3.39                  , 3.39                   , 1.50                  , 1.50                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'CLD' occurrence nb                   , ###                   , ###                    , 5.45                  , 5.45                   , 3.61                  , 3.61                   , 3.61                  , 3.61                   , 1.23                  , 1.23                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'FAM' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , 1.07                  , 1.07                   , 1.04                  , 1.04                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'ZA' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , 5.36                  , 5.36                   , 5.07                  , 5.07                   , 4.57                  , 4.57                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'ZB' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , 2.14                  , 2.14                   , 2.14                  , 2.14                   , 4.57                  , 4.57                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.1       , Office 'accueil' occurrence nb                 , ###                   , ###                    , ###                   , ###                    , 1.07                  , 1.07                   , 1.04                  , 1.04                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.1       , Office 'soins' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , 7.50                  , 7.50                   , 7.21                  , 7.21                   , 9.13                  , 9.13                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'FAM' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , 1.67                  , 1.67                   , 1.61                  , 1.61                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'ZA' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , 8.33                  , 8.33                   , 7.89                  , 7.89                   , 6.00                  , 6.00                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.1       , Office 'accueil' occurrence nb                 , ###                   , ###                    , ###                   , ###                    , 1.67                  , 1.67                   , 1.61                  , 1.61                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.1       , Office 'soins' occurrence nb                   , ###                   , ###                    , ###                   , ###                    , 8.33                  , 8.33                   , 7.89                  , 7.89                   , 9.86                  , 8.94                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'CA' occurrence nb                    , ###                   , ###                    , ###                   , ###                    , 1.30                  , 1.30                   , 1.30                  , 1.30                   , 1.73                  , 1.73                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###
